曜日
時限
コース,絵,教科,教室,先生,(URL)

月
1
共通,dj,英語コミュニケーション Ⅱ aB,345,門田 裕次,
共通,dj,英語コミュニケーション Ⅱ aD,342,菅谷 孝義,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=78804
共通,dj,英語コミュニケーション Ⅱ aG,376,吉野 瑞男,
2
共通,dj,英語コミュニケーション Ⅱ aA,341,津森 紀乃,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=79016
共通,dj,英語コミュニケーション Ⅱ aC,345,門田 裕次,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=77820
共通,dj,英語コミュニケーション Ⅱ aE,342,菅谷 孝義,
共通,dj,英語コミュニケーション Ⅱ aF,376,吉野 瑞男,
3
AI,programming,プログラミング概論A,351,齊藤亜・山口,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=78892
IoT,rainy,確率統計論B,342,兒玉・野村,
4
AI,rainy,確率統計論A,351,兒玉・野村,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=79268
5
AI,tree,自然言語処理A,351,町出・野村,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=79314

火
1
IoT,programming,プログラミング概論B,351,齊藤亜・山口,
2,3
IoT,meeting,IoTシステム開発 Ⅰ A,354,藤井・山本裕,
4
AI,read,人工知能システム開発 Ⅰ A,371・373,神沼・齊藤亜,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=79076
IoT,meeting,IoTシステム開発 Ⅰ A,354,藤井・山本裕,
5
AI,read,人工知能システム開発 Ⅰ A,371・373,神沼・齊藤亜,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=79076
IoT,video,担任ミーティング Ⅱ,354,兒玉 賢史,
6
AI,video,担任ミーティング Ⅱ,371・373,駒井 章治,https://lms-tokyo.iput.ac.jp/course/view.php?id=3320

水
1
共通,suit,キャリアガイダンス Ⅰ,Bホール,-,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=78899
2,5
共通,club,地域共創デザイン実習,教室一覧,-,https://lms-tokyo.iput.ac.jp/course/view.php?id=3089

木
1
AI,exam,人工知能数学A,311,三宅・神田,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=79662
IoT-A,crane,センサ・アクチュエータA,361,西田 麻美,
2
AI,speak,人工知能基礎A,311,齊藤亜・神田,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=78895
IoT-B,crane,センサ・アクチュエータB,251,西田 麻美,
3,4
共通,club,地域共創デザイン実習,教室一覧,-,https://lms-tokyo.iput.ac.jp/course/view.php?id=3089

金
1
共通,dj,英語コミュニケーション Ⅱ aB,345,門田 裕次,
共通,dj,英語コミュニケーション Ⅱ aD,342,菅谷 孝義,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=78804
共通,dj,英語コミュニケーション Ⅱ aG,376,吉野 瑞男,
2
共通,dj,英語コミュニケーション Ⅱ aA,341,津森 紀乃,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=79016
共通,dj,英語コミュニケーション Ⅱ aC,345,門田 裕次,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=77820
共通,dj,英語コミュニケーション Ⅱ aE,342,菅谷 孝義,
共通,dj,英語コミュニケーション Ⅱ aF,376,吉野 瑞男,
3
AI,bookshelf,データベース基礎と応用A,311,飛澤・山口,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=79755
IoT,power,制御工学基礎A,351,水上憲・中村,
4
IoT,bookshelf,データベース基礎と応用B,351,飛澤・山口,
